Blob,Values
blob_1,-0.13605591054313096
blob_2,-0.06507514569223499
blob_3,-0.15066534272901977
blob_4,-0.0009517252499193778
blob_5,-0.0573930944725157
blob_6,-0.13533544707263884
blob_7,-0.05025195810564664
blob_8,-0.13292152452358635
blob_9,-0.16906413502109705
blob_10,-0.10226336633663367
blob_11,-0.08527774613506915
blob_12,-0.1701039019792648
blob_13,-0.16326935231811077
blob_14,-0.20150456273764256
blob_15,-0.06560751572861757
blob_16,-0.2054271264367816
